,seed_track,seed_popularity,rec_track,rec_popularity,g
0,People,92,Super Freaky Girl,76,100
1,People,92,Those Eyes,90,100
2,People,92,How Do I Say Goodbye,77,100
3,People,92,Outside,68,100
4,People,92,Search & Rescue,91,100
5,People,92,People,92,100
6,People,92,Favorite Song,85,100
7,People,92,Another Love,64,100
8,People,92,Love Songs - Bonus,79,100
9,People,92,Kill Bill,94,100
10,People,92,Kilometre,61,100
11,People,92,N'y pense plus,69,100
12,People,92,Baby,70,100
13,People,92,Love,72,100
14,People,92,Remember - Acoustic,64,100
15,People,92,Cardboard Box,69,100
16,People,92,Mirror,66,100
17,People,92,Kontrol,63,100
18,People,92,Mapopo - Remix,56,100
19,People,92,Love Somebody,65,100
20,If We Ever Broke Up,88,Till You’re Ready,57,90
21,If We Ever Broke Up,88,live more & love more,75,90
22,If We Ever Broke Up,88,Maniac,80,90
23,If We Ever Broke Up,88,Dolls,70,90
24,If We Ever Broke Up,88,FU In My Head,64,90
25,If We Ever Broke Up,88,ceilings,91,90
26,If We Ever Broke Up,88,Not Another Rockstar,68,90
27,If We Ever Broke Up,88,Baby Don't Hurt Me,87,90
28,If We Ever Broke Up,88,Boyfriend,83,90
29,If We Ever Broke Up,88,That's What Friends Are For,44,90
30,If We Ever Broke Up,88,Gimme (feat. Koffee & Jessie Reyez),67,90
31,If We Ever Broke Up,88,Special (feat. SZA),78,90
32,If We Ever Broke Up,88,COFFEE,48,90
33,If We Ever Broke Up,88,Crazy,62,90
34,If We Ever Broke Up,88,People,92,90
35,If We Ever Broke Up,88,10:35,68,90
36,If We Ever Broke Up,88,SAD B!TCH,70,90
37,If We Ever Broke Up,88,Kill Bill - Sped Up Version,81,90
38,If We Ever Broke Up,88,Lottery (feat. LU KALA),78,90
39,If We Ever Broke Up,88,I DON'T WANNA BE LIKE YOU,66,90
40,Miracle (with Ellie Goulding),90,Over Again,65,90
41,Miracle (with Ellie Goulding),90,Tell Me Why - Radio Edit,66,90
42,Miracle (with Ellie Goulding),90,Higher Love,73,90
43,Miracle (with Ellie Goulding),90,Colourblind,63,90
44,Miracle (with Ellie Goulding),90,Silhouettes - Original Radio Edit,67,90
45,Miracle (with Ellie Goulding),90,Human (feat. Echoes) - Aaron Hibell Remix,58,90
